timestamp,open,high,low,close,volume
2024-02-23,2971.51,2993.55,2906.35,2921.7,103413.40504743
2024-02-24,2921.7,3006.23,2906.23,2992.55,55168.362954
2024-02-25,2992.56,3122.96,2984.0,3112.7,87963.05846893
2024-02-26,3112.7,3195.75,3036.7,3176.19,117249.20988423
2024-02-27,3176.2,3287.4,3166.07,3242.62,140589.14848461
2024-02-28,3242.65,3488.88,3187.79,3383.04,263155.65317936
2024-02-29,3383.05,3522.39,3299.0,3340.48,209421.72279676
2024-03-01,3340.29,3449.73,3338.89,3433.19,102475.52065262
2024-03-02,3433.2,3459.76,3394.67,3421.15,62015.3957494
2024-03-03,3421.15,3491.52,3360.0,3487.6,78269.82912731
2024-03-04,3487.54,3640.41,3433.8,3627.26,151684.64069275
2024-03-05,3627.38,3821.95,3202.89,3553.57,86914.31545097
2024-03-06,3553.52,3901.39,3500.16,3819.35,53230.91230263
2024-03-07,3819.34,3933.0,3735.31,3869.0,30713.69703341
2024-03-08,3869.01,3995.0,3823.42,3883.66,35814.244791
2024-03-09,3883.66,3941.9,3871.19,3905.69,12111.53130328
2024-03-10,3905.5,3964.27,3791.81,3878.79,17289.20516296
2024-03-11,3878.79,4087.0,3731.71,4065.38,34817.71856026
2024-03-12,4065.38,4091.51,3831.0,3980.01,36999.79808528
2024-03-13,3980.01,4081.44,3932.11,4005.16,28546.74917623
2024-03-14,4005.17,4011.3,3723.95,3881.79,40818.93086041
2024-03-15,3881.79,3934.4,3569.18,3742.07,63626.93530926
2024-03-16,3742.42,3781.05,3468.66,3522.37,33523.52617201
2024-03-17,3522.65,3678.51,3413.47,3644.66,35525.98999527
2024-03-18,3644.53,3644.75,3455.0,3520.5,32355.58072793
2024-03-19,3520.5,3548.1,3151.0,3158.98,79055.10231372
2024-03-20,3158.83,3535.17,3057.71,3516.16,97117.36804106
2024-03-21,3515.75,3586.71,3412.21,3492.56,43611.73019719
2024-03-22,3492.56,3542.16,3250.0,3336.45,44253.9258595
2024-03-23,3336.46,3435.0,3270.48,3330.53,23813.23145157
2024-03-24,3329.64,3470.68,3299.61,3454.36,21049.50619248
2024-03-25,3454.63,3660.37,3420.41,3590.25,28387.91680133
2024-03-26,3590.25,3678.69,3542.95,3587.55,27531.71347505
2024-03-27,3587.56,3666.52,3460.87,3501.17,33477.94135089
2024-03-28,3501.18,3611.58,3464.93,3560.82,111373.45167874
2024-03-29,3561.13,3584.44,3473.06,3511.22,80967.41663941
2024-03-30,3511.23,3565.5,3485.01,3505.55,33451.57930435
2024-03-31,3505.55,3655.3,3505.0,3645.26,50447.16232798
2024-04-01,3645.26,3645.7,3414.13,3503.91,121466.96851903
2024-04-02,3503.91,3505.54,3212.21,3278.78,193209.96736094
2024-04-03,3278.78,3367.44,3202.14,3311.08,114916.57996637
2024-04-04,3311.35,3443.11,3251.72,3327.34,91876.0248328
2024-04-05,3327.35,3345.63,3210.4,3317.91,115768.24016624
2024-04-06,3317.92,3398.63,3306.96,3351.73,35382.13902632
2024-04-07,3351.81,3459.33,3344.72,3454.15,44172.5386003
2024-04-08,3454.16,3730.0,3407.42,3694.93,100003.35864936
2024-04-09,3694.94,3725.94,3453.55,3506.17,121054.98117002
2024-04-10,3506.17,3563.08,3413.63,3545.26,95113.58170355
2024-04-11,3545.45,3617.88,3473.82,3502.53,71378.09475375
2024-04-12,3502.53,3551.99,3077.1,3237.46,143210.17210631
2024-04-13,3237.47,3302.24,2811.0,3006.62,291410.7025394
2024-04-14,3006.98,3174.06,2906.42,3155.04,244163.9654566
2024-04-15,3154.74,3277.46,3023.2,3102.1,201024.84015998
